Index,AoA_1,AoA_2,AoA_3,AoA_4,AoA_5,AoA_6,AoA_7,AoA_8,AoA_9,AoA_10,AoZ_1,AoZ_2,AoZ_3,AoZ_4,AoZ_5,AoZ_6,AoZ_7,AoZ_8,AoZ_9,AoZ_10,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,NumPaths,MaxPixel
1,-73.006634,101.987923,126.688800,23.122547,156.679784,0.000000,0.000000,0.000000,0.000000,0.000000,153.127317,96.543025,-52.175746,-79.328319,0.384794,0.000000,0.000000,0.000000,0.000000,0.000000,0.076557,0.088048,0.095604,0.057704,0.067708,0.000000,0.000000,0.000000,0.000000,0.000000,-0.662473,10.608467,13.707016,-9.016175,-0.598545,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 17 3
2,114.468373,-78.321781,114.247284,-36.374608,16.688216,0.000000,0.000000,0.000000,0.000000,0.000000,-69.196475,170.881622,-74.309377,-37.521800,-75.752333,0.000000,0.000000,0.000000,0.000000,0.000000,0.084186,0.011020,0.059427,0.001933,0.013111,0.000000,0.000000,0.000000,0.000000,0.000000,11.113639,-9.100428,-3.216866,-5.603395,-3.781010,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 109 174
3,-28.268692,-53.484334,-3.591961,77.046853,172.014680,0.000000,0.000000,0.000000,0.000000,0.000000,178.785937,-22.632012,-148.954695,-106.511865,-48.996010,0.000000,0.000000,0.000000,0.000000,0.000000,0.066073,0.088920,0.060068,0.008315,0.082661,0.000000,0.000000,0.000000,0.000000,0.000000,-7.313930,-12.902437,8.616432,1.500654,-1.027845,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 102 371
4,-173.811819,97.291934,-74.309526,88.794600,68.549802,0.000000,0.000000,0.000000,0.000000,0.000000,-6.257867,-79.224923,5.817385,64.497660,124.748325,0.000000,0.000000,0.000000,0.000000,0.000000,0.015784,0.083718,0.033975,0.040056,0.012812,0.000000,0.000000,0.000000,0.000000,0.000000,7.274891,-4.778912,-5.840284,-11.621528,-12.445545,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 198 379
5,121.025635,-64.877817,3.746038,-152.706184,176.889524,0.000000,0.000000,0.000000,0.000000,0.000000,-145.628293,-95.044453,-165.850196,-151.856409,171.419995,0.000000,0.000000,0.000000,0.000000,0.000000,0.077474,0.025842,0.078935,0.032945,0.089204,0.000000,0.000000,0.000000,0.000000,0.000000,-13.195092,-3.821398,9.815275,5.893426,-11.129225,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 82 217
6,-94.352253,-160.181663,19.871496,-136.373959,168.711023,0.000000,0.000000,0.000000,0.000000,0.000000,42.267506,-1.695400,-63.665422,33.307336,-107.911912,0.000000,0.000000,0.000000,0.000000,0.000000,0.061698,0.007591,0.065445,0.033469,0.080420,0.000000,0.000000,0.000000,0.000000,0.000000,-13.499173,-10.685576,12.993427,11.146222,-3.431669,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 83 257
7,170.299680,-122.602327,162.242515,-135.460667,177.958373,0.000000,0.000000,0.000000,0.000000,0.000000,1.533908,-14.134486,-52.346248,-2.657341,-1.417976,0.000000,0.000000,0.000000,0.000000,0.000000,0.039439,0.065118,0.051155,0.034507,0.065687,0.000000,0.000000,0.000000,0.000000,0.000000,12.705013,-4.803550,-8.314390,3.285324,-7.247539,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 37 1
8,-8.439237,-173.196521,164.674133,167.802498,-85.430949,0.000000,0.000000,0.000000,0.000000,0.000000,36.399425,71.177474,45.470452,-134.701924,83.408833,0.000000,0.000000,0.000000,0.000000,0.000000,0.027435,0.084049,0.056516,0.008917,0.030146,0.000000,0.000000,0.000000,0.000000,0.000000,-2.936929,4.801543,-2.192839,5.451984,-8.852530,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 32 196
9,114.717631,-2.725453,-90.471586,-178.803686,0.693205,0.000000,0.000000,0.000000,0.000000,0.000000,-148.490406,41.563474,-102.275181,161.189341,18.054193,0.000000,0.000000,0.000000,0.000000,0.000000,0.067610,0.066398,0.096424,0.000868,0.068726,0.000000,0.000000,0.000000,0.000000,0.000000,-3.933842,9.873420,-14.445597,0.544034,6.388747,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 29 384
10,31.880610,10.342912,63.404612,65.160415,-47.021088,0.000000,0.000000,0.000000,0.000000,0.000000,-50.621648,-151.518385,129.856731,134.330172,-71.689527,0.000000,0.000000,0.000000,0.000000,0.000000,0.078905,0.097408,0.090703,0.006642,0.066754,0.000000,0.000000,0.000000,0.000000,0.000000,14.692895,-2.634468,1.582081,3.572631,13.913466,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 303 129
11,-117.521888,138.206682,160.180777,76.426200,-120.960788,0.000000,0.000000,0.000000,0.000000,0.000000,-171.264891,106.653572,178.948987,-36.649664,166.308360,0.000000,0.000000,0.000000,0.000000,0.000000,0.037052,0.094436,0.012311,0.044501,0.003914,0.000000,0.000000,0.000000,0.000000,0.000000,1.567363,6.835387,-12.430595,0.990240,8.455767,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 335 349
12,42.321393,116.901626,136.613688,-64.929088,36.060328,0.000000,0.000000,0.000000,0.000000,0.000000,140.628258,33.392547,-17.084467,-173.652450,-21.794844,0.000000,0.000000,0.000000,0.000000,0.000000,0.077499,0.089729,0.029783,0.060694,0.092447,0.000000,0.000000,0.000000,0.000000,0.000000,8.580865,4.690763,12.118489,-0.309901,-4.869896,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 37 53
13,-179.678210,-123.504755,115.759382,-135.883334,-171.994718,0.000000,0.000000,0.000000,0.000000,0.000000,-138.372858,-133.589991,-19.437479,-157.192607,-5.645070,0.000000,0.000000,0.000000,0.000000,0.000000,0.011575,0.045754,0.070083,0.041794,0.041995,0.000000,0.000000,0.000000,0.000000,0.000000,0.271764,8.982654,-0.746879,-2.602202,8.844408,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 310 382
14,-177.240422,-37.670588,88.586498,-53.120505,121.023281,0.000000,0.000000,0.000000,0.000000,0.000000,26.649248,150.920698,-77.293143,-94.919163,126.000261,0.000000,0.000000,0.000000,0.000000,0.000000,0.033067,0.080895,0.090137,0.079697,0.095777,0.000000,0.000000,0.000000,0.000000,0.000000,-2.212648,14.913495,-12.916526,-11.019739,11.608796,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 17 375
15,-115.577298,-93.827282,32.303060,-30.138106,53.488887,0.000000,0.000000,0.000000,0.000000,0.000000,20.456293,116.731638,-1.096406,179.579782,30.444694,0.000000,0.000000,0.000000,0.000000,0.000000,0.022638,0.071260,0.073265,0.043972,0.053756,0.000000,0.000000,0.000000,0.000000,0.000000,-9.816926,7.624786,4.898333,9.905651,-10.208730,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 287 382
16,-19.923379,-41.071312,-65.972834,-3.631726,-161.214193,0.000000,0.000000,0.000000,0.000000,0.000000,112.473845,162.607100,-32.486296,89.244513,113.792859,0.000000,0.000000,0.000000,0.000000,0.000000,0.062583,0.077977,0.070735,0.010210,0.075846,0.000000,0.000000,0.000000,0.000000,0.000000,12.149500,2.640712,-2.918226,-13.961057,-2.831353,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 73 336
17,54.489622,118.627975,-55.304739,72.640040,101.634002,0.000000,0.000000,0.000000,0.000000,0.000000,-128.598345,163.077461,119.710294,-31.407454,96.238291,0.000000,0.000000,0.000000,0.000000,0.000000,0.047195,0.066223,0.067274,0.085042,0.078381,0.000000,0.000000,0.000000,0.000000,0.000000,-8.604642,-13.433370,-1.832256,-9.175497,-14.384937,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 19 238
18,63.489400,-171.374392,-46.024105,-122.601315,-49.959005,0.000000,0.000000,0.000000,0.000000,0.000000,143.349425,-31.259008,3.050081,-112.469903,57.784652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000467,0.021552,0.029562,0.017128,0.056450,0.000000,0.000000,0.000000,0.000000,0.000000,-4.148079,-12.193171,4.915022,-0.533426,-8.937501,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 39 1
19,93.696160,-41.811076,-79.487990,97.633404,22.341961,0.000000,0.000000,0.000000,0.000000,0.000000,89.750297,147.368483,-113.566954,-178.613951,76.500632,0.000000,0.000000,0.000000,0.000000,0.000000,0.061711,0.038525,0.019885,0.012251,0.006219,0.000000,0.000000,0.000000,0.000000,0.000000,10.885409,-14.803530,0.404950,8.258101,4.960385,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 151 224
20,142.606938,-161.425001,-119.882809,-169.900459,128.149001,0.000000,0.000000,0.000000,0.000000,0.000000,102.429432,96.818215,-3.710713,103.681858,-86.074041,0.000000,0.000000,0.000000,0.000000,0.000000,0.012491,0.022143,0.021721,0.044614,0.082439,0.000000,0.000000,0.000000,0.000000,0.000000,-0.651352,-13.415314,10.776659,5.570582,9.082948,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 130 364
21,-90.941324,28.297931,97.433128,-167.060871,42.175230,0.000000,0.000000,0.000000,0.000000,0.000000,157.445762,-88.865923,-10.045441,-96.786182,138.197174,0.000000,0.000000,0.000000,0.000000,0.000000,0.094423,0.067388,0.085362,0.049602,0.019056,0.000000,0.000000,0.000000,0.000000,0.000000,14.984841,10.393304,12.056178,11.124629,4.535303,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 222 332
22,-174.981626,-112.305604,68.567048,147.443313,7.716206,0.000000,0.000000,0.000000,0.000000,0.000000,-157.512819,-92.029422,136.857025,21.230541,-130.897622,0.000000,0.000000,0.000000,0.000000,0.000000,0.035510,0.078858,0.082282,0.000064,0.090735,0.000000,0.000000,0.000000,0.000000,0.000000,8.720620,11.371070,-13.762352,-13.990766,-4.239837,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 1 371
23,114.403030,75.203221,-54.089828,94.206591,-145.854341,0.000000,0.000000,0.000000,0.000000,0.000000,80.150264,-89.390099,-87.192623,59.921379,97.684115,0.000000,0.000000,0.000000,0.000000,0.000000,0.027424,0.084332,0.081539,0.023632,0.017118,0.000000,0.000000,0.000000,0.000000,0.000000,0.340735,-9.170635,-4.334381,9.515664,-4.469803,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 64 167
24,110.825002,105.278842,41.820470,-11.742141,86.389404,0.000000,0.000000,0.000000,0.000000,0.000000,126.445671,12.057929,144.044527,-166.893610,144.300214,0.000000,0.000000,0.000000,0.000000,0.000000,0.045787,0.043016,0.025526,0.059586,0.066897,0.000000,0.000000,0.000000,0.000000,0.000000,-11.381138,-9.276554,7.282281,-9.553095,6.758586,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 23 113
25,49.987355,36.116535,109.374886,131.100218,101.835617,0.000000,0.000000,0.000000,0.000000,0.000000,-6.033526,166.620194,42.584546,84.988186,-178.511469,0.000000,0.000000,0.000000,0.000000,0.000000,0.034088,0.058916,0.024902,0.036915,0.052546,0.000000,0.000000,0.000000,0.000000,0.000000,10.781755,-4.141211,2.919513,-14.994312,11.224155,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 188 9
26,64.976031,-135.432528,94.298389,-156.963089,-105.833499,0.000000,0.000000,0.000000,0.000000,0.000000,-142.217510,24.986366,72.483050,73.632146,98.298663,0.000000,0.000000,0.000000,0.000000,0.000000,0.036753,0.013314,0.084921,0.008974,0.063136,0.000000,0.000000,0.000000,0.000000,0.000000,0.913449,-10.540341,-12.365206,-11.715072,-14.575380,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 370 112
27,-176.461782,137.908242,-50.241965,-52.857035,-147.433537,0.000000,0.000000,0.000000,0.000000,0.000000,-166.342149,4.327960,-108.474217,-90.737620,-157.923256,0.000000,0.000000,0.000000,0.000000,0.000000,0.062591,0.003812,0.090883,0.049311,0.083760,0.000000,0.000000,0.000000,0.000000,0.000000,-2.310989,-5.559153,0.033632,-5.467058,-9.076384,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 336 15
28,-12.936509,-113.001790,49.674591,160.245890,70.702477,0.000000,0.000000,0.000000,0.000000,0.000000,59.269373,19.270980,5.298464,-3.571083,26.961014,0.000000,0.000000,0.000000,0.000000,0.000000,0.028012,0.027771,0.024558,0.047586,0.029692,0.000000,0.000000,0.000000,0.000000,0.000000,-10.493051,14.087948,-9.071217,-8.378375,-13.162377,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 60 321
29,134.439879,-159.100199,61.703970,61.730296,-151.154953,0.000000,0.000000,0.000000,0.000000,0.000000,168.942587,9.409739,-99.751220,133.451636,73.588287,0.000000,0.000000,0.000000,0.000000,0.000000,0.035063,0.062162,0.015034,0.087207,0.079970,0.000000,0.000000,0.000000,0.000000,0.000000,11.987658,13.998629,3.096956,14.762635,12.655537,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 6 25
30,-94.270952,-75.820062,172.602475,-116.974398,66.699447,0.000000,0.000000,0.000000,0.000000,0.000000,169.700765,90.614555,75.228494,6.390589,112.768308,0.000000,0.000000,0.000000,0.000000,0.000000,0.052650,0.022334,0.044221,0.036438,0.075646,0.000000,0.000000,0.000000,0.000000,0.000000,14.329098,10.127697,-1.721888,-0.251448,-14.369407,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 187 344
31,134.548134,-110.142524,20.009915,-155.128253,77.711249,0.000000,0.000000,0.000000,0.000000,0.000000,-150.000885,-14.224488,-141.283157,138.383437,-119.700689,0.000000,0.000000,0.000000,0.000000,0.000000,0.076164,0.075820,0.067934,0.049153,0.041505,0.000000,0.000000,0.000000,0.000000,0.000000,-14.230664,-1.169145,12.770403,-4.394608,-8.351238,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 16 32
32,108.031802,54.874909,12.447145,138.512215,55.815075,0.000000,0.000000,0.000000,0.000000,0.000000,-69.897461,39.944310,-143.874971,132.761007,104.195901,0.000000,0.000000,0.000000,0.000000,0.000000,0.028359,0.081128,0.029008,0.025760,0.006202,0.000000,0.000000,0.000000,0.000000,0.000000,14.651530,-11.594115,-8.630575,2.472970,11.792691,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 308 166
33,-114.507412,117.455386,126.071804,-107.864758,140.630713,0.000000,0.000000,0.000000,0.000000,0.000000,-165.745679,95.423135,7.159907,-137.450348,-69.410529,0.000000,0.000000,0.000000,0.000000,0.000000,0.020586,0.052114,0.002069,0.007547,0.043785,0.000000,0.000000,0.000000,0.000000,0.000000,4.370277,-11.811501,-4.954493,-14.352692,-0.268485,-1000.000000,-1000.000000,-1000.000000,-1000.000000,-1000.000000,5, 356 11
